2026-03-13 17:36:57.406 [info] Reading sessions from keychain...
2026-03-13 17:36:57.406 [info] Got stored sessions!
2026-03-13 17:36:57.406 [info] Got 1 verified sessions.
2026-03-13 17:36:57.406 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.406 [info] Got 1 sessions for ...
2026-03-13 17:36:57.406 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.406 [info] Got 1 sessions for ...
2026-03-13 17:36:57.406 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.406 [info] Got 1 sessions for ...
2026-03-13 17:36:57.406 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.406 [info] Got 1 sessions for ...
2026-03-13 17:36:57.406 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.406 [info] Got 1 sessions for ...
2026-03-13 17:36:57.406 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.406 [info] Got 1 sessions for ...
2026-03-13 17:36:57.406 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.406 [info] Got 1 sessions for ...
2026-03-13 17:36:57.406 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:57.406 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:57.432 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.432 [info] Got 1 sessions for ...
2026-03-13 17:36:57.432 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:57.432 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:57.648 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.648 [info] Got 1 sessions for ...
2026-03-13 17:36:57.648 [info] Getting sessions for all scopes...
2026-03-13 17:36:57.648 [info] Got 1 sessions for ...
2026-03-13 17:36:57.650 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:57.650 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-13 17:36:58.075 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.075 [info] Got 1 sessions for ...
2026-03-13 17:36:58.075 [info] Getting sessions for all scopes...
2026-03-13 17:36:58.075 [info] Got 1 sessions for ...
