2026-03-20 16:27:06.638 [info] Reading sessions from keychain...
2026-03-20 16:27:06.638 [info] Got stored sessions!
2026-03-20 16:27:06.638 [info] Got 1 verified sessions.
2026-03-20 16:27:06.638 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.638 [info] Got 1 sessions for ...
2026-03-20 16:27:06.638 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.638 [info] Got 1 sessions for ...
2026-03-20 16:27:06.638 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.638 [info] Got 1 sessions for ...
2026-03-20 16:27:06.638 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.638 [info] Got 1 sessions for ...
2026-03-20 16:27:06.638 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.638 [info] Got 1 sessions for ...
2026-03-20 16:27:06.638 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.638 [info] Got 1 sessions for ...
2026-03-20 16:27:06.638 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.638 [info] Got 1 sessions for ...
2026-03-20 16:27:06.638 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:06.638 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:06.664 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.664 [info] Got 1 sessions for ...
2026-03-20 16:27:06.667 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:06.667 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:06.981 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.981 [info] Got 1 sessions for ...
2026-03-20 16:27:06.981 [info] Getting sessions for all scopes...
2026-03-20 16:27:06.981 [info] Got 1 sessions for ...
2026-03-20 16:27:07.198 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:07.198 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:07.299 [info] Getting sessions for all scopes...
2026-03-20 16:27:07.299 [info] Got 1 sessions for ...
2026-03-20 16:27:07.299 [info] Getting sessions for all scopes...
2026-03-20 16:27:07.299 [info] Got 1 sessions for ...
2026-03-20 16:27:07.312 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:07.312 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:07.549 [info] Getting sessions for all scopes...
2026-03-20 16:27:07.549 [info] Got 1 sessions for ...
2026-03-20 16:27:07.549 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:07.549 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:07.605 [info] FetcherService: Electron fetch failed with status: 429 
2026-03-20 16:27:07.606 [info] Unable to resolve optional EDU details. Status: 429 
2026-03-20 16:27:07.748 [info] Getting sessions for all scopes...
2026-03-20 16:27:07.748 [info] Got 1 sessions for ...
2026-03-20 16:27:07.749 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:07.749 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-20 16:27:07.803 [info] Getting sessions for all scopes...
